"x"
"AHUS";1255.3
"Bergen";313.4
"Diakonhjemmet";340.2
"Finnmark";0
"Fonna";113
"Førde";21.6
"Haraldsplass";69.2
"Helgeland";0
"Innlandet";305.5
"Lovisenberg";346.7
"Møre og Romsdal";178.6
"N-Trøndelag";45.2
"Nordland";88.8
"OUS";718.4
"St.Olavs";151.4
"Stavanger";140.1
"Sørlandet";194.8
"Telemark";175.6
"UNN";168.2
"V. Viken";629.1
"Vestfold";311
"Østfold";305.1
